Fat,Weight,Height,Waist
12.3,154.25,67.75,33.5433
6.1,173.25,72.25,32.6772
25.3,154,66.25,34.6063
10.4,184.75,72.25,34.0157
28.7,184.25,71.25,39.3701
20.9,210.25,74.75,37.1654
19.2,181,69.75,35.7087
12.4,176,72.5,34.8425
4.1,191,74,32.4803
11.7,198.25,73.5,34.8819
7.1,186.25,74.5,32.9134
7.8,216,76,35.7874
20.8,180.5,69.5,36.063
21.2,205.25,71.25,40.0787
22.1,187.75,69.5,37.9528
20.9,162.75,66,36.5354
29,195.75,71,37.9528
22.9,209.25,71,38.3858
16,183.75,67.75,35.2756
16.5,211.75,73.5,39.5669
19.1,179,68,37.7559
15.2,200.5,69.75,38.8976
15.6,140.25,68.25,30.0787
17.7,148.75,70,31.4961
14,151.25,67.75,30.0394
3.7,159.25,71.5,31.378
7.9,131.5,67.5,29.3701
22.9,148,67.5,34.9213
3.7,133.25,64.75,29.0945
8.8,160.75,69,32.874
11.9,182,73.75,34.9213
5.7,160.25,71.25,33.2677
11.8,168,71.25,31.1417
21.3,218.5,71,39.5669
32.3,247.25,73.5,45.5118
40.1,191.75,65,44.5276
24.2,202.25,70,39.7244
28.4,196.75,68.25,38.8976
32.6,203,67,42.5591
34.5,262.75,68.75,49.685
31.6,217,70,43.7795
32,212,71.5,41.063
7.7,125.25,68,29.9213
13.9,164.25,73.25,32.0866
10.8,133.5,67.5,29.0157
5.6,148.5,71.25,31.2992
13.6,135.75,68.5,32.8346
4,127.5,66.75,27.7165
10.2,158.25,72.25,34.1339
6.6,139.25,69,30.6693
8,137.25,67.75,32.2835
6.3,152.75,73.5,31.3386
3.9,136.25,67.5,30.5512
22.6,198,72,39.3701
20.4,181.5,68,39.2913
28,201.25,69.5,41.0236
31.5,202.5,70.75,41.4567
24.6,179.75,65.75,38.7008
26.1,216,73.25,41.2598
29.8,178.75,68.5,37.2835
30.7,193.25,70.25,40.315
25.8,178,67,39.252
32.3,205.5,70,41.5354
30,183.5,67.5,39.4882
21.5,151.5,70.75,33.0315
13.8,154.75,71.5,34.0945
6.3,155.25,69.25,30.8661
12.9,156.75,71.5,33.3071
24.3,167.5,71.5,36.0236
8.8,146.75,68.75,32.5984
8.5,160.75,73.75,32.6378
13.5,125,64,29.9213
11.8,143,65.75,32.7953
18.5,148.25,67.5,32.2047
8.8,162.5,69.5,31.0236
22.2,177.75,68.5,37.4016
21.5,161.25,70.25,37.5591
18.8,171.25,69.25,38.8189
31.4,163.75,67.75,37.7165
26.8,150.25,67.25,35.0394
18.4,190.25,72.75,38.5039
27,170.75,70,37.3622
27,168,69.25,39.2913
26.6,167,67.5,35.315
14.9,157.75,67.25,34.685
23.1,160,65.75,35.7874
8.3,176.75,72.5,33.8583
14.1,176,73,34.0551
20.5,177,70,37.6378
18.2,179.75,69.5,36.6929
8.5,165.25,70.5,32.7165
24.9,192.5,71.75,38.3858
9,184.25,74.5,34.9606
17.4,224.5,77.75,39.0551
9.6,188.75,73.25,36.063
11.3,162.5,66.5,34.1339
17.8,156.5,68.25,34.7244
22.2,197,72,37.0079
21.2,198.5,73.5,37.4016
20.4,173.75,72,36.2205
20.1,172.75,71.25,35.1181
22.3,196.75,73.75,37.5984
25.4,177,69.25,38.8189
18,165.5,68.5,34.3701
19.3,200.25,73.5,40.4724
18.3,203.25,74.25,40
17.3,194,75.5,34.9213
21.4,168.5,69.25,36.3386
19.7,170.75,68.5,35.6693
28,183.25,70,41.3386
22.1,178.25,70,37.4016
21.3,163,70.25,35.2756
26.7,175.25,71.75,36.378
16.7,158,69.25,34.0945
20.1,177.25,72.75,35.4331
13.9,179,72,35.4331
25.8,191,74,36.378
18.1,187.5,72.25,34.4488
27.9,206.5,74.5,39.0551
25.3,185.25,71.5,38.622
14.7,160.25,68.75,32.7953
16,151.5,66.75,33.8976
13.8,161,66.5,33.1102
17.5,167,67,35.3937
27.2,177.5,68.75,36.2598
17.4,152.25,67.75,30.7087
20.8,192.25,73.25,36.811
14.9,165.25,69.75,34.252
18.1,171.75,71.5,35.4724
22.7,171.25,70.5,35.5512
23.6,197,73.25,39.2913
26.1,157,66.75,35.1969
24.4,168.25,69.5,34.3307
27.1,186,69.75,39.8032
21.8,166.75,70.75,33.8976
29.4,187.75,74,38.8189
22.4,168.25,71.25,34.8425
20.4,212.75,75,41.9685
24.9,176.75,71,36.6535
18.3,173.25,69.5,36.6142
23.3,167,67.75,35.8268
9.4,159.75,72.25,30.3543
10.3,188.15,77.5,33.5827
14.2,156,70.75,32.2441
19.2,208.5,72.75,39.0157
29.6,206.5,69.75,39.5669
5.3,143.75,72.5,30.1181
25.2,223,70.25,42.0472
9.4,152.25,69,30.5512
19.6,241.75,74.5,40.5118
10.1,146,72.25,28.6614
16.5,156.75,67.25,34.7244
21,200.25,73.5,39.4094
17.3,171.5,75.25,32.874
31.2,205.75,69,41.3386
10,182.5,72.25,35.748
12.5,136.5,68.75,30.1575
22.5,177.25,71.5,36.378
9.4,151.25,72.25,31.9685
14.6,196,73,37.6378
13,184.25,68.75,36.2598
15.1,140,70.5,32.8346
27.3,218.75,72,41.7323
19.2,217,73.75,37.4409
21.8,166.25,68,35.5906
20.3,224.75,72.25,39.5276
34.3,228.25,69.5,45.6299
16.5,172.75,69.5,35.748
3,152.25,67.75,32.2441
0.7,125.75,65.5,29.5276
20.5,177.25,71,35.5512
16.9,176.25,71.5,35.5512
25.3,226.75,71.75,42.8346
9.9,145.25,69.25,31.2598
13.1,151,67,32.7559
29.9,241.25,71.5,43.4252
22.5,187.25,69.25,36.4961
16.9,234.75,74.5,41.1417
26.6,219.25,74.25,41.1811
0,118.5,68,27.3228
11.5,145.75,67.25,32.9134
12.1,159.25,69.75,34.1732
17.5,170.5,74.25,35.5906
8.6,167.5,71.5,32.9528
23.6,232.75,74.25,43.0315
20.4,210.5,72,38.937
20.5,202.25,72.5,38.5827
24.4,185,68.25,39.8425
11.4,153,69.25,31.7323
38.1,244.25,76,44.7638
15.9,193.5,70.5,37.0472
24.7,224.75,74.75,41.6142
22.8,162.75,72.75,33.7008
25.5,180,68.25,38.0315
22,156.25,69,33.8583
17.7,168,71.5,35.315
6.6,167.25,72.75,30.7087
23.6,170.75,67.5,35.315
12.2,178.25,70.25,35.1181
22.1,150,69.25,33.7402
28.7,200.5,71.5,40.5906
6,184,74,35.0787
34.8,223,69.75,44.8425
16.6,208.75,73,37.9134
32.9,166,65.5,36.9685
32.8,195,72.5,39.8819
9.6,160.5,70.25,33.0315
10.8,159.75,70.75,33.2283
7.1,140.5,68,31.2598
27.2,216.25,74.5,40.9449
19.5,168.25,71.75,35.315
18.7,194.75,70.75,38.4252
19.5,172.75,73,34.4882
47.5,219,64,48.0709
13.6,149.25,69.75,31.9291
7.5,154.5,70,32.0866
24.5,199.25,71.75,39.3701
15,154.5,69.25,34.9213
12.4,153.25,70.5,36.1417
26,230,72.25,43.4646
11.5,161.75,67.5,34.4882
5.2,142.25,67.25,32.5984
10.9,179.75,68.75,37.5197
12.5,126.5,66.75,30.7874
14.8,169.5,68.25,35.8661
25.2,198.5,74.25,38.0709
14.9,174.5,69.5,35.1969
17,167.75,68.5,36.6142
10.6,147.75,65.75,34.0157
16.1,182.25,71.75,38.0709
15.4,175.5,71.5,34.685
26.7,161.75,67.25,37.3622
25.8,157.75,67.5,36.7323
18.6,168.75,67.5,37.6378
24.8,191.5,72.25,38.6614
27.3,219.15,69.5,44.8032
12.4,155.25,69.5,32.5984
29.9,189.75,65.75,39.5669
17,127.5,65.75,31.378
35,224.5,68.25,46.4567
30.4,234.25,72,42.9134
32.6,227.75,72.75,44.6457
29,199.5,68.5,41.7717
15.2,155.5,69.25,33.189
30.2,215.5,70.5,42.3622
11,134.25,67,32.9134
33.6,201,69.75,41.3386
29.3,186.75,66,43.8976
26,190.75,70.5,39.8819
31.9,207.5,70,42.7165
